Sector,Size,Purchase_Frequency,Average_Ticket,Customer_Lifetime,Satisfaction
Manufacturing,Small Business,29,45774,6,5
Financial Services,Medium Business,32,1702,12,3
Retail,Small Business,9,43834,19,5
Financial Services,Small Business,17,22535,5,1
Manufacturing,Small Business,2,28593,9,3
Retail,Large Enterprise,5,47373,13,1
Technology,Medium Business,1,43720,13,5
Technology,Large Enterprise,49,31451,7,2
Retail,Medium Business,1,8631,3,1
Healthcare,Medium Business,8,44601,15,3
Technology,Small Business,41,32065,12,2
Manufacturing,Large Enterprise,32,47509,14,1
Financial Services,Small Business,9,29499,4,3
Financial Services,Small Business,4,44412,13,3
Technology,Small Business,40,9080,7,1
Healthcare,Large Enterprise,32,15570,19,2
Financial Services,Small Business,41,9480,20,2
Manufacturing,Small Business,6,46070,2,5
Technology,Small Business,2,34026,11,3
Healthcare,Small Business,25,32605,7,3
Financial Services,Medium Business,18,17089,15,5
Manufacturing,Medium Business,32,31550,12,1
Financial Services,Medium Business,2,5274,17,4
Financial Services,Small Business,4,29676,13,5
Technology,Small Business,35,27515,15,4
Manufacturing,Medium Business,32,23049,15,2
Healthcare,Medium Business,12,2362,18,2
Manufacturing,Medium Business,44,3909,15,5
Manufacturing,Small Business,27,9537,4,1
Manufacturing,Small Business,34,6380,17,2
Manufacturing,Small Business,18,38334,9,2
Financial Services,Large Enterprise,38,34952,12,2
Technology,Small Business,30,38941,10,5
Healthcare,Medium Business,3,42596,14,2
Technology,Medium Business,29,18520,13,4
Healthcare,Medium Business,45,34181,8,5
Manufacturing,Medium Business,43,15975,18,4
Retail,Large Enterprise,45,24288,7,1
Financial Services,Large Enterprise,28,48481,5,4
Retail,Small Business,16,26233,10,3
Manufacturing,Small Business,49,26925,2,5
Retail,Small Business,46,41387,3,4
Technology,Medium Business,42,10725,17,5
Retail,Large Enterprise,32,34060,4,2
Healthcare,Small Business,2,4467,15,1
Manufacturing,Medium Business,10,29142,9,5
Financial Services,Small Business,9,28582,19,3
Technology,Large Enterprise,38,24471,7,1
Healthcare,Large Enterprise,34,20202,9,4
Financial Services,Small Business,2,24136,9,1
Financial Services,Medium Business,4,27408,12,5
Technology,Small Business,7,32535,1,3
Retail,Medium Business,37,18266,19,3
Healthcare,Large Enterprise,11,31726,10,1
Healthcare,Large Enterprise,18,4632,1,5
Financial Services,Large Enterprise,37,37130,17,3
Healthcare,Small Business,50,6337,6,2
Technology,Small Business,4,15418,4,5
Manufacturing,Large Enterprise,46,9720,10,1
Retail,Small Business,23,7179,7,1
Retail,Medium Business,20,43578,7,3
Manufacturing,Small Business,1,24566,11,1
Financial Services,Large Enterprise,13,3732,2,2
Financial Services,Large Enterprise,39,42144,18,5
Manufacturing,Small Business,20,21743,8,5
Healthcare,Small Business,9,41715,9,1
Financial Services,Small Business,45,27095,7,1
Technology,Small Business,47,49765,13,3
Healthcare,Large Enterprise,14,28101,15,3
Technology,Large Enterprise,11,16311,11,1
Retail,Small Business,9,28684,4,4
Retail,Large Enterprise,11,38373,14,1
Manufacturing,Small Business,21,48066,14,1
Retail,Medium Business,15,38249,13,4
Manufacturing,Medium Business,18,35081,3,4
Technology,Small Business,49,23640,18,2
Financial Services,Large Enterprise,40,33227,12,1
Manufacturing,Small Business,21,18632,7,4
Financial Services,Small Business,14,40141,10,4
Financial Services,Large Enterprise,12,9960,2,5
Financial Services,Small Business,23,33171,13,1
Healthcare,Large Enterprise,3,4002,18,1
Healthcare,Medium Business,34,7156,11,3
Financial Services,Medium Business,26,36513,8,3
Manufacturing,Medium Business,21,12386,9,5
Technology,Small Business,30,31287,20,1
Healthcare,Small Business,23,21448,13,1
Financial Services,Large Enterprise,13,23487,10,3
Financial Services,Large Enterprise,14,42872,5,4
Healthcare,Large Enterprise,1,31626,18,4
Technology,Medium Business,12,33508,10,5
Manufacturing,Large Enterprise,22,42384,15,2
Manufacturing,Small Business,1,49390,6,2
Financial Services,Small Business,28,21744,19,3
Technology,Small Business,15,40890,4,5
Financial Services,Small Business,41,48279,9,5
Healthcare,Small Business,18,14714,20,3
Retail,Large Enterprise,40,37287,8,1
Retail,Large Enterprise,29,37439,19,1
Healthcare,Small Business,43,20342,13,4
Retail,Medium Business,30,14450,10,1
Financial Services,Small Business,33,35691,8,2
Healthcare,Large Enterprise,22,9244,15,4
Retail,Large Enterprise,38,3755,6,4
Technology,Large Enterprise,5,37219,8,4
Retail,Medium Business,47,20953,11,3
Healthcare,Small Business,3,12880,19,2
Technology,Medium Business,48,831,10,4
Financial Services,Small Business,22,23119,19,2
Manufacturing,Small Business,21,12456,2,3
Retail,Small Business,6,16732,16,3
Manufacturing,Medium Business,7,35350,14,3
Healthcare,Large Enterprise,35,16535,12,2
Healthcare,Large Enterprise,43,9640,11,1
Retail,Large Enterprise,4,37785,14,1
Financial Services,Medium Business,9,42905,6,4
Retail,Medium Business,34,1117,3,5
Financial Services,Large Enterprise,47,1588,20,3
Healthcare,Small Business,10,15058,11,5
Financial Services,Medium Business,19,37094,11,1
